# param_presentation.tsv — PRESENTATION, keyed on ADDRESS and nothing else.
#
# WHY A SEPARATE TABLE. FOUNDATIONS' D1 ruling (their DECISIONS #89): ParamDesc
# carries STRUCTURE — address, id, type, cadence, ranges, and mod_min/mod_max —
# and deliberately does NOT carry label/unit/page/widget, because the standing
# GUI criterion says styling is data, separable from structure, and putting them
# in one record breaks the thing that criterion separates. Structure is theirs to
# define at re-point; presentation is ours, and lives here.
#
# KEYED ON ADDRESS, NEVER ON id. Their caution, adopted verbatim: a page or group
# that is also a dispatch fact is how the two get re-fused. gui.html today binds
# every control with data-p="<numeric id>" — that mistake is already in the tree,
# and this table is the shape meant to replace it. There is deliberately no id
# column: you cannot re-fuse what you cannot name.
#
# NO patch_scope COLUMN EITHER, and that is the same ruling applied to ourselves.
# Patch-scope is DISPATCH — does the write consume the event — not presentation
# and not location (their D2). It is derived from the shell by tools/gui_reach.py,
# with two semantic anchors that took three wrong versions to get right. Copying
# that derivation here to decorate a row would be a second copy of a rule whose
# single copy is the whole point. If you want to know whether a param is
# patch-scope, ask gui_reach; it is the owner.
#
# `chunk` IS THE QUEUE, AND EMPTY MEANS NOT-YET-DESIGNED.
#
# `shown_when` HIDES A ROW THAT CANNOT AFFECT THE SOUND. Grammar:
#
# `scale` = log10 MAPS THE CONTROL, NOT THE VALUE. Time is perceived
# logarithmically — 1->2 ms matters as much as 1->2 s — so a linear seconds
# slider spends most of its travel where nobody sets it. The GUI converts on
# send and on paint; the parameter itself stays linear seconds, which is what
# CLAP reports and what the core reads.
#   <base-key>=<value>[|<value>]   e.g. reach -> topo=1
# A control for a parameter the engine does not read in the current mode is
# not information, it is furniture that lies. Every entry here is VERIFIED
# against the core's own branch (swarm_core.h topology switch), never
# inferred from a name: topo==0 reads poles, topo==1 reads reach, and the
# else branch (two-cluster) reads mu and balance.
# A row renders only when its chunk is named. This exists because the first pass
# generated a control for EVERY row at once to make gui_reach report 105/105 —
# a number, not a design. It surfaced SPECTRA and the engine selector into a GUI
# whose own rules say "a cluster appears here only when its engine surface is
# REAL", rendered every enum as a numeric slider, duplicated an existing panel,
# and shipped unstyled. Reach counted presence, so reach was satisfied.
# Naming a chunk is therefore a claim that four decisions were MADE for it:
#   1. engine surface is real (no cluster for an engine we are not shipping)
#   2. widget per param is right (an enum is a selector, not a number)
#   3. the group does not already exist hand-written (no twin panels)
#   4. the wrapper has CSS and survives at plugin size
#
# SEEDED, NOT INVENTED. Group and widget are mined from gui.html — the GUI that
# already reaches 102/105 params — so the starting data is what we ship, not a
# guess. page=TODO and group=(ungrouped) are the honest gaps, and are counted by
# presentation_check rather than hidden.
address	scope	label	page	group	widget	unit	chunk	shown_when	scale	depends
osc1.enable	osc1	Osc On	OSC	The swarm	toggle		the-swarm			
osc2.enable	osc2	Osc On	OSC	The swarm	toggle		the-swarm			
osc1.n	osc1	Voices	OSC	The swarm	knob		the-swarm			
osc2.n	osc2	Voices	OSC	The swarm	knob		the-swarm			
osc1.dist	osc1	Distribution	OSC	The swarm	select		the-swarm			
osc2.dist	osc2	Distribution	OSC	The swarm	select		the-swarm			
osc1.seed	osc1	Seed	OSC	The swarm	knob		the-swarm			
osc2.seed	osc2	Seed	OSC	The swarm	knob		the-swarm			
osc1.detune	osc1	Detune	OSC	The swarm	knob		the-swarm			
osc2.detune	osc2	Detune	OSC	The swarm	knob		the-swarm			
osc1.law	osc1	Detune Law	OSC	The swarm	select		the-swarm			
osc2.law	osc2	Detune Law	OSC	The swarm	select		the-swarm			
osc1.K	osc1	Pull K	OSC	The coupling	knob		the-coupling			
osc2.K	osc2	Pull K	OSC	The coupling	knob		the-coupling			
osc1.onset	osc1	Onset Lock	OSC	The coupling	knob		the-coupling			
osc2.onset	osc2	Onset Lock	OSC	The coupling	knob		the-coupling			
osc1.dissolve	osc1	Dissolve (s)	OSC	The coupling	knob		the-coupling		log10	
osc2.dissolve	osc2	Dissolve (s)	OSC	The coupling	knob		the-coupling		log10	
osc1.driftDepth	osc1	Drift Depth (c)	OSC	Drift	knob		drift			
osc2.driftDepth	osc2	Drift Depth (c)	OSC	Drift	knob		drift			
osc1.driftRate	osc1	Drift Rate	OSC	Drift	knob		drift			
osc2.driftRate	osc2	Drift Rate	OSC	Drift	knob		drift			
inertia	global	Inertia	OSC	The coupling	knob		the-coupling			
osc1.rtone	osc1	R->Tone	OSC	Image & tone	knob		image-tone			
osc2.rtone	osc2	R->Tone	OSC	Image & tone	knob		image-tone			
osc1.normExp	osc1	Density Comp	OSC	Image & tone	knob		image-tone			
osc2.normExp	osc2	Density Comp	OSC	Image & tone	knob		image-tone			
osc1.width	osc1	Width	OSC	Image & tone	knob		image-tone			
osc2.width	osc2	Width	OSC	Image & tone	knob		image-tone			
mono	global	Mono Fold	MIX	Output & perception	toggle		output-perception			
osc1.digital	osc1	Digital	OSC	Image & tone	knob		image-tone			
osc2.digital	osc2	Digital	OSC	Image & tone	knob		image-tone			
osc1.vol	osc1	Volume	MIX	Mix	knob		mix			
osc2.vol	osc2	Volume	MIX	Mix	knob		mix			
osc1.retrig	osc1	Retrigger	OSC	The coupling	toggle		the-coupling			
osc2.retrig	osc2	Retrigger	OSC	The coupling	toggle		the-coupling			
osc1.attack	osc1	Attack (s)	OSC	Envelope	knob		envelope		log10	
osc2.attack	osc2	Attack (s)	OSC	Envelope	knob		envelope		log10	
